Date,SPY,GLD,OIL
10/20/2014,194.93,118.52,20.11
10/13/2014,188.47,118.99,20.24
10/6/2014,190.54,117.59,20.89
9/29/2014,196.52,114.61,22.01
9/22/2014,197.9,117.06,23
9/15/2014,200.7,117.09,22.55
9/8/2014,199.13,118.38,22.44
9/2/2014,201.11,122.06,22.8
8/25/2014,200.71,123.86,23.43
8/18/2014,199.19,123.19,22.84
8/11/2014,195.72,125.48,23.19
8/4/2014,193.24,126.19,23.64
7/28/2014,192.5,124.38,23.7
7/21/2014,197.72,125.79,24.78
7/14/2014,197.71,126.13,24.78
7/7/2014,196.61,128.78,24.36
6/30/2014,198.2,127.16,25.14
6/23/2014,195.82,126.66,25.69
6/16/2014,195.94,126.5,25.91
6/9/2014,194.13,122.96,25.73
6/2/2014,195.38,120.61,24.66
5/27/2014,192.68,120.43,24.71
5/19/2014,190.35,124.51,25.07
5/12/2014,188.05,124.5,24.41
5/5/2014,187.96,124.1,23.86
4/28/2014,188.06,125.06,23.8
4/21/2014,186.29,125.43,24.01
4/14/2014,186.39,124.75,24.77
4/7/2014,181.51,126.93,24.44
3/31/2014,186.4,125.57,23.89
3/24/2014,185.49,124.56,24.02
3/17/2014,186.2,128.47,23.49
3/10/2014,184.66,133.1,23.29
3/3/2014,188.26,129.09,24.18
2/24/2014,186.29,127.62,24.13
2/18/2014,183.89,127.58,24.09
2/10/2014,184.02,127.15,23.51
2/3/2014,179.68,122.17,23.38
1/27/2014,178.18,120.09,22.74
1/21/2014,178.89,122.29,22.62
1/13/2014,183.64,120.93,21.99
1/6/2014,184.14,120.26,21.68
12/30/2013,182.89,119.29,22
12/23/2013,183.85,117.12,23.48
12/16/2013,181.56,115.94,23.24
12/9/2013,178.11,119.38,22.66
12/2/2013,180.94,118.55,22.95
11/25/2013,181,120.7,21.82
11/18/2013,180.81,119.92,22.21
11/11/2013,180.05,124.32,22.11
11/4/2013,177.29,124.28,22.23
10/28/2013,176.21,126.95,22.3
10/21/2013,175.95,130.46,23.17
10/14/2013,174.39,126.85,23.97
10/7/2013,170.26,122.6,24.17
9/30/2013,168.89,126.53,24.56
9/23/2013,168.91,128.97,24.33
9/16/2013,170.72,127.96,24.87
9/9/2013,169.33,127.82,25.66
9/3/2013,166.04,134.15,26.08
8/26/2013,163.65,134.62,25.47
8/19/2013,166.62,134.9,25.07
8/12/2013,165.83,132.58,25.39
8/5/2013,169.31,126.86,24.86
7/29/2013,170.95,126.36,25.13
7/22/2013,169.11,128.78,24.58
7/15/2013,169.17,125.11,25.41
7/8/2013,167.51,124.13,24.8
7/1/2013,163.02,118.09,24.06
6/24/2013,160.42,119.11,22.35
6/17/2013,159.07,125.05,21.74
6/10/2013,163.18,134.43,22.77
6/3/2013,164.8,133.28,22.36
5/28/2013,163.45,133.92,21.27
5/20/2013,165.31,133.76,21.8
5/13/2013,166.94,131.07,22.38
5/6/2013,163.41,139.6,22.37
4/29/2013,161.37,142.09,22.26
4/22/2013,158.24,140.91,21.62
4/15/2013,155.48,135.47,20.49
4/8/2013,158.8,143.95,21.29
4/1/2013,155.16,152.81,21.78
3/25/2013,156.67,154.45,22.77
3/18/2013,155.6,155.55,21.95
3/11/2013,155.83,154,21.95
3/4/2013,155.44,152.71,21.57
2/25/2013,152.11,152.44,21.35
2/19/2013,151.89,152.97,21.98
2/11/2013,152.11,155.76,22.73
2/4/2013,151.8,161.57,22.7
1/28/2013,151.24,161.45,23.18
1/22/2013,150.25,160.65,22.78
1/14/2013,148.33,163.09,22.77
1/7/2013,147.07,161.06,22.28
12/31/2012,146.37,160.44,22.15
12/24/2012,140.03,160.54,21.58
12/17/2012,142.79,160.33,21.1
12/10/2012,142.1,164.13,20.75
12/3/2012,142.41,165.16,20.56
11/26/2012,142.15,166.05,21.27
11/19/2012,141.35,169.61,21.1
11/12/2012,136.37,165.88,20.81
11/5/2012,138.16,167.82,20.7
10/31/2012,141.56,162.6,20.44
10/22/2012,141.35,165.93,20.74
10/15/2012,143.39,166.97,21.8
10/8/2012,142.89,170.06,22.25
10/1/2012,146.14,172.62,21.82
9/24/2012,143.97,171.89,22.32
9/17/2012,145.87,171.96,22.58
9/10/2012,147.24,171.8,24.23
9/4/2012,144.33,168.44,23.54
8/27/2012,141.16,164.22,23.55
8/20/2012,141.51,161.97,23.39
8/13/2012,142.18,156.72,23.58
8/6/2012,140.84,157.18,22.85
7/30/2012,139.35,155.55,22.27
7/23/2012,138.68,157.54,22.02
7/16/2012,136.47,153.67,22.41
7/9/2012,135.75,154.14,21.32
7/2/2012,135.49,153.71,20.58
6/25/2012,136.1,155.19,20.7
6/18/2012,133.46,152.64,19.55
6/11/2012,134.14,157.84,20.63
6/4/2012,133.1,154.73,20.71
5/29/2012,128.16,157.5,20.43
5/21/2012,132.1,152.68,22.37
5/14/2012,129.74,154.55,22.53
5/7/2012,135.61,153.56,23.81
4/30/2012,137,159.47,24.52
4/23/2012,140.39,161.38,26.16
4/16/2012,137.95,159.54,25.98
4/9/2012,137.14,160.85,25.81
4/2/2012,139.79,158.31,25.87
3/26/2012,140.81,162.12,25.88
3/19/2012,139.65,161.53,26.9
3/12/2012,140.3,161.3,27.16
3/5/2012,137.57,166.38,27.26
2/27/2012,137.31,166.34,27.05
2/21/2012,136.93,172.23,27.89
2/13/2012,136.41,167.35,26.28
2/6/2012,134.36,167.14,25.08
1/30/2012,134.54,167.64,24.78
1/23/2012,131.82,168.97,25.27
1/17/2012,131.95,162.07,24.95
1/9/2012,128.84,159.26,25.19
1/3/2012,127.71,157.2,25.96
12/27/2011,125.5,151.99,25.12
12/19/2011,126.39,156.31,25.37
12/12/2011,121.59,155.23,23.84
12/5/2011,126.05,166.4,25.39
11/28/2011,124.86,169.82,25.74
11/21/2011,116.34,163.4,24.5
11/14/2011,121.98,167.62,24.9
11/7/2011,126.66,173.96,25.16
10/31/2011,125.48,170.85,23.94
10/24/2011,128.6,169.62,23.66
10/17/2011,123.97,159.52,22.15
10/10/2011,122.57,163.4,22.12
10/3/2011,115.71,159.18,20.9
9/26/2011,113.15,158.06,19.84
9/19/2011,113.54,159.8,20.25
9/12/2011,121.52,176.03,22.35
9/6/2011,115.92,180.7,22.13
8/29/2011,117.85,183.24,21.97
8/22/2011,117.97,177.47,21.65
8/15/2011,112.64,179.95,20.97
8/8/2011,118.12,169.97,21.73
8/1/2011,120.08,161.75,22.29
7/25/2011,129.33,158.29,24.6
7/18/2011,134.58,156.12,25.66
7/11/2011,131.69,155.2,25.09
7/5/2011,134.4,150.25,24.84
6/27/2011,133.92,144.93,24.4
6/20/2011,126.81,146.26,23.46
6/13/2011,127.05,149.94,24.05
6/6/2011,127.6,149.24,25.74
5/31/2011,130.42,150.22,26.17
5/23/2011,133.51,149.7,26.2
5/16/2011,133.61,147.49,26.06
5/9/2011,134.04,145.63,26.01
5/2/2011,134.2,145.3,25.64
4/25/2011,136.43,152.37,29.98
4/18/2011,133.78,146.74,29.56
4/11/2011,132.04,145.05,28.97
4/4/2011,132.86,143.66,29.98
3/28/2011,133.15,139.2,28.59
3/21/2011,131.3,139.26,27.9
3/14/2011,127.76,138.37,27.05
3/7/2011,130.84,138.22,26.89
2/28/2011,132.47,139.35,28.03
2/22/2011,132.33,137.38,26.2
2/14/2011,134.53,135.41,23.89
2/7/2011,133.11,132.32,23.69
1/31/2011,131.15,131.66,24.55
1/24/2011,127.72,130.28,24.73
1/18/2011,128.37,131.03,24.65
1/10/2011,129.3,132.69,25.64
1/3/2011,127.14,133.58,24.77
12/27/2010,125.75,138.72,25.61
12/20/2010,125.6,134.66,25.65
12/13/2010,124.3,134.2,24.83
12/6/2010,124.48,135.41,24.75
11/29/2010,122.89,138.07,25.17
11/22/2010,118.8,133.11,23.58
11/15/2010,120.29,132.2,23.05
11/8/2010,120.2,133.69,23.93
11/1/2010,122.72,136.38,24.7
10/25/2010,118.49,132.62,23.02
10/18/2010,118.35,129.73,23.21
10/11/2010,117.7,133.68,23.23
10/4/2010,116.54,131.66,23.69
9/27/2010,114.61,128.91,23.32
9/20/2010,114.82,126.69,21.8
9/13/2010,112.49,124.54,21.29
9/7/2010,111.48,121.73,22.03
8/30/2010,110.89,121.86,21.51
8/23/2010,106.86,121.01,21.81
8/16/2010,107.53,119.97,21.41
8/9/2010,108.31,118.74,21.99
8/2/2010,112.39,117.84,23.63
7/26/2010,110.27,115.49,23.02
7/19/2010,110.41,116.09,23.07
7/12/2010,106.66,116.67,22.24
7/6/2010,107.96,118.36,22.37
6/28/2010,102.2,118.49,21.16
6/21/2010,107.87,122.76,23.26
6/14/2010,111.73,122.83,23.09
6/7/2010,109.68,120.01,22.28
6/1/2010,106.82,119.19,21.2
5/24/2010,109.37,118.88,22.11
5/17/2010,109.11,115.22,20.93
5/10/2010,113.89,120.37,22.64
5/3/2010,111.26,118.27,23.78
4/26/2010,118.81,115.36,27.29
4/19/2010,121.81,113.19,27.02
4/12/2010,119.36,111.24,26.78
4/5/2010,119.55,113.64,27.23
3/29/2010,117.8,110.26,27.28
3/22/2010,116.58,108.59,25.62
3/15/2010,115.97,108.28,25.89
3/8/2010,115.46,107.95,26.09
3/1/2010,114.25,110.81,26.31
2/22/2010,110.74,109.43,25.65
2/16/2010,111.14,109.47,25.79
2/8/2010,108.04,107.04,23.94
2/1/2010,106.66,104.68,23.18
1/25/2010,107.39,105.96,23.49
1/19/2010,109.21,107.17,23.93
1/11/2010,113.64,110.86,25.35
1/4/2010,114.57,111.37,27.02
12/28/2009,111.44,107.31,25.88
12/21/2009,112.48,108.36,25.17
12/14/2009,110.21,108.95,24.12
12/7/2009,111.11,109.32,23.37
11/30/2009,111.01,113.75,25.29
11/23/2009,109.57,115.06,25.44
11/16/2009,109.43,112.94,26.03
11/9/2009,109.62,109.74,25.84
11/2/2009,107.13,107.43,26.23
10/26/2009,103.56,102.53,26
10/19/2009,108.08,103.49,27.05
10/12/2009,108.89,103.18,26.73
10/5/2009,107.26,102.84,24.48
9/28/2009,102.49,98.37,23.63
9/21/2009,104.45,97,22.36
9/14/2009,106.72,98.67,24.51
9/8/2009,104.77,98.78,23.66
8/31/2009,102.06,97.53,23.11
8/24/2009,103.38,93.87,24.89
8/17/2009,102.97,93.65,25.24
8/10/2009,100.79,93,23.77
8/3/2009,101.2,93.75,24.87
7/27/2009,98.81,93.35,24.23
7/20/2009,98.06,93.41,23.87
7/13/2009,94.13,91.93,22.51
7/6/2009,87.96,89.58,21.17
6/29/2009,89.81,91.25,23.75
6/22/2009,91.84,92.29,24.76
6/15/2009,92.04,91.9,25.06
6/8/2009,95.08,92.17,26.04
6/1/2009,94.55,93.71,24.67
5/26/2009,92.53,96.2,24
5/18/2009,89.02,94.15,22.17
5/11/2009,88.71,91.55,20.5
5/4/2009,92.98,89.98,21.31
4/27/2009,87.89,86.95,19.21
4/20/2009,86.66,89.72,18.72
4/13/2009,87.08,85.22,19.1
4/6/2009,85.81,86.31,19.99
3/30/2009,84.26,87.59,20.17
3/23/2009,81.61,90.69,20.07
3/16/2009,76.71,93.59,20.03
3/9/2009,76.09,91.3,17.94
3/2/2009,68.92,92.29,18.05
2/23/2009,73.93,92.63,17.48
2/17/2009,77.42,97.8,15.68
2/9/2009,82.76,92.55,16.48
2/2/2009,86.98,89.59,18.76
1/26/2009,82.83,91.31,19.48
1/20/2009,83.11,88.53,21.47
1/12/2009,85.06,82.71,19.97
1/5/2009,89.09,83.92,22.06
12/29/2008,92.96,86.23,25.11
12/22/2008,87.16,85.6,20.35
12/15/2008,88.19,82.63,23.38
12/8/2008,88.99,80.81,27.1
12/1/2008,87.93,74.52,24.23
11/24/2008,90.09,80.31,30.17
11/17/2008,79.52,78.85,29.31
11/10/2008,86.62,73.3,33.25
11/3/2008,93.86,72.5,36.14
10/27/2008,96.83,71.34,40.26
10/20/2008,87.04,72.21,38.35
10/13/2008,93.21,77.21,42.79
10/6/2008,88.5,83.22,47.81
9/29/2008,110.34,82.59,55.15
9/22/2008,120.85,86.64,63.71
9/15/2008,124.12,85.98,61.17
9/8/2008,126.09,75.55,59.82
9/2/2008,124.42,78.98,63.3
8/25/2008,128.79,81.71,68.83
8/18/2008,129.65,81.08,68.2
8/11/2008,130.17,77.63,67.81
8/4/2008,129.37,84.43,68.46
7/28/2008,126.16,89.57,74.49
7/21/2008,125.48,91.69,73.43
7/14/2008,125.98,94.17,76.99
7/7/2008,123.84,95.16,86.9
6/30/2008,126.31,92.06,86.56
6/23/2008,127.53,91.47,84.19
6/16/2008,131.58,88.95,80.79
6/9/2008,136.15,85.83,80.96
6/2/2008,136.29,89.06,82.95
5/27/2008,140.35,87.45,76.37
5/19/2008,137.64,91.23,78.99
5/12/2008,142.66,89.1,75.79
5/5/2008,138.9,87.42,75.5
4/28/2008,141.51,84.58,69.55
4/21/2008,139.6,87.27,70.87
4/14/2008,138.48,90.62,69.51
4/7/2008,133.38,91.3,65.67
3/31/2008,136.89,90.25,63.04
3/24/2008,131.51,91.88,62.45
3/17/2008,132.08,89.91,60.25
3/10/2008,129.61,98.71,64.56
3/3/2008,129.71,96.09,62.35
2/25/2008,133.82,96.18,59.71
2/19/2008,135.62,93.39,58.02
2/11/2008,135.14,89.15,56.06
2/4/2008,133.07,91,53.69
1/28/2008,139.58,89.35,52.16
1/22/2008,133.04,90.3,53.12
1/14/2008,132.06,87.42,52.64
1/7/2008,140.15,88.58,54.1
12/31/2007,141.31,85.13,57.04
12/24/2007,147.3,83,56.11
12/17/2007,148.13,80.1,54.33
12/10/2007,147.17,78.52,53.3
12/3/2007,150.91,78.6,51.33
11/26/2007,148.66,77.32,51.53
11/19/2007,144.13,81.25,56.77
11/12/2007,145.79,77.75,54.48
11/5/2007,145.14,82.18,55.25
10/29/2007,151.2,79.83,55.07
10/22/2007,153.62,77.69,52.66
10/15/2007,149.67,75.7,49.71
10/8/2007,156.33,74.59,47.36
10/1/2007,155.85,73.4,45.96
9/24/2007,152.58,73.51,46.32
9/17/2007,151.97,72.34,46.07
9/10/2007,148.9,69.99,44.23
9/4/2007,146.07,69.39,42.63
8/27/2007,147.59,66.52,41.13
8/20/2007,148.33,66.11,39.55
8/13/2007,144.71,65.01,39.79
8/6/2007,144.71,66.57,39.62
7/30/2007,143.8,66.69,41.63
7/23/2007,145.11,65.41,42.54
7/16/2007,153.5,67.58,41.94
7/9/2007,154.85,66.03,40.92
7/2/2007,152.98,64.96,40.21
6/25/2007,150.43,64.27,38.98
6/18/2007,150.55,64.78,38.23
6/11/2007,153.07,64.85,37.89
6/4/2007,151.04,64.22,36.06
5/29/2007,154.08,66.44,36.23
5/21/2007,151.69,64.94,36.31
5/14/2007,152.62,65.52,36.65
5/7/2007,150.86,66.45,35.62
4/30/2007,150.92,68.19,35.34
4/23/2007,149.53,67.56,37.87
4/16/2007,148.62,68.7,36.55
4/9/2007,145.32,67.84,37.75
4/2/2007,144.24,66.86,37.99
3/26/2007,142,65.74,39
3/19/2007,143.39,65.15,36.92
3/12/2007,138.53,64.62,35.32
3/5/2007,140.78,64.25,36.71
2/26/2007,138.67,63.71,37.52
2/20/2007,145.3,67.72,37.12
2/12/2007,145.73,66.36,36.34
2/5/2007,143.94,66.12,36.75
1/29/2007,144.81,64.28,36.35
1/22/2007,142.13,64.17,34.07
1/16/2007,142.82,63,32.82
1/8/2007,143.24,62.17,32.96
1/3/2007,140.54,60.17,35.13
